[2022-12-08T11:42:27.042] [WARN] warnArchive - Ruta GET /productos no implementada
[2022-12-08T11:42:37.320] [WARN] warnArchive - Ruta GET /productos no implementada
[2022-12-08T11:42:40.007] [WARN] warnArchive - Ruta GET /productos no implementada
[2022-12-08T11:42:47.681] [WARN] warnArchive - Ruta GET /productos/login no implementada
[2022-12-08T11:46:09.742] [WARN] warnArchive - Ruta GET /auth/login no implementada
[2022-12-08T11:52:04.108] [WARN] warnArchive - Ruta GET /auth/login no implementada
[2022-12-08T11:54:15.769] [WARN] warnArchive - Estado: 404, Ruta consultada: /public/index.js, Metodo GET
[2022-12-09T14:48:22.419] [WARN] warnArchive - Estado: 404, Ruta consultada: /public/index.js, Metodo GET
[2022-12-09T14:48:41.927] [WARN] warnArchive - Estado: 404, Ruta consultada: /public/index.js, Metodo GET
[2022-12-09T14:48:49.528] [WARN] warnArchive - Estado: 404, Ruta consultada: /public/index.js, Metodo GET
[2022-12-09T14:49:02.261] [WARN] warnArchive - Estado: 404, Ruta consultada: /public/index.js, Metodo GET
[2022-12-09T14:49:30.566] [WARN] warnArchive - Estado: 404, Ruta consultada: /public/index.js, Metodo GET
[2022-12-09T14:49:49.838] [WARN] warnArchive - Estado: 404, Ruta consultada: /public/index.js, Metodo GET
[2022-12-09T14:49:54.409] [WARN] warnArchive - Estado: 404, Ruta consultada: /public/index.js, Metodo GET
[2022-12-09T14:49:55.500] [WARN] warnArchive - Estado: 404, Ruta consultada: /public/index.js, Metodo GET
[2022-12-09T14:50:03.553] [WARN] warnArchive - Estado: 404, Ruta consultada: /public/index.js, Metodo GET
[2022-12-09T14:53:34.026] [WARN] warnArchive - Estado: 404, Ruta consultada: /public/index.js, Metodo GET
[2022-12-09T14:53:57.041] [WARN] warnArchive - Estado: 404, Ruta consultada: /public/index.js, Metodo GET
[2022-12-09T14:54:18.328] [WARN] warnArchive - Estado: 404, Ruta consultada: /public/index.js, Metodo GET
[2022-12-09T14:54:24.067] [WARN] warnArchive - Estado: 404, Ruta consultada: /public/index.js, Metodo GET
[2022-12-09T14:54:47.932] [WARN] warnArchive - Estado: 404, Ruta consultada: /public/index.js, Metodo GET
[2022-12-09T14:54:53.175] [WARN] warnArchive - Estado: 404, Ruta consultada: /public/index.js, Metodo GET
[2022-12-09T14:54:54.828] [WARN] warnArchive - Estado: 404, Ruta consultada: /public/index.js, Metodo GET
[2022-12-09T14:55:06.053] [WARN] warnArchive - Estado: 404, Ruta consultada: /public/index.js, Metodo GET
[2022-12-09T15:04:24.461] [WARN] warnArchive - Estado: 404, Ruta consultada: /public/index.js, Metodo GET
[2022-12-09T15:04:45.189] [WARN] warnArchive - Estado: 404, Ruta consultada: /public/index.js, Metodo GET
[2022-12-09T15:04:59.882] [WARN] warnArchive - Estado: 404, Ruta consultada: /public/index.js, Metodo GET
[2022-12-09T15:05:51.586] [WARN] warnArchive - Estado: 404, Ruta consultada: /public/index.js, Metodo GET
[2022-12-29T10:12:03.048] [WARN] warnArchive - Estado: 404, Ruta consultada: /public/index.js, Metodo GET
[2022-12-29T10:12:03.282] [WARN] warnArchive - Estado: 404, Ruta consultada: /favicon.ico, Metodo GET
[2022-12-29T10:12:25.114] [WARN] warnArchive - Estado: 404, Ruta consultada: /public/index.js, Metodo GET
[2022-12-29T10:15:38.874] [WARN] warnArchive - Estado: 404, Ruta consultada: /public/index.js, Metodo GET
